role,skills,education,experience_type
business development executive,"banking, c, client, clients, closing, consulting, contracts, crm, customer relationship management, e-mail, energy saving, focus, forms, functional, hardware, insurance, managing, market, marketing, microsoft office suite, network, new business development, newsletter, office, outlook, proposals, sales, salesforce.com crm, selling, six sigma, utilities",B.S,experienced
mechanical engineer,"access control, data analysis, data structures, data visualization, database management, debugging, iam, java, machine learning, mongodb, mysql, python, risk assessment, sail point",B.E. (Computers),experienced
hr,"access, account reconciliation, accountant, accounting, accounting system, ar, budget, business objects, closing, contracts, excel, financial, financial analysis, financial controls, financial operations, financial reports, financial statements, gl, grants, inventory, invoicing, ledger, macros, microsoft office, monitors, office, operating systems, outlook, peoplesoft, policies, powerpoint, processes, procurement, reporting, research, sap, sarbanes-oxley, training materials, view, word","Masters of Science, BBA",experienced
asst. manager/ manger (administrative),"application programming, aws, client management, data science, machine learning, mysql, nlp, nosql, python, requirement gathering, server management, software development, system analysis, technical architecture",Bachelor of Engineering,experienced
software_engineer,"artificial intelligence, data analysis, debugging, django, docker, github, jira, machine learning, natural language processing, postgresql, project management, python, relational databases, restapi, software developer, software development, tornado","BCA, MCA",experienced
site engineer,"computer vision, contextual reasoning, deep learning, image processing, machine learning, neural networks",B.Tech,fresher
machine learning (ml) engineer,"calbench, fasb & gaap standards, generally accepted auditing standards, intuit proseries, lacerte, microsoft access, microsoft excel, microsoft outlook, microsoft power pivot, microsoft powerpoint, microsoft word, quickbooks, sage, sarbanes-oxley","Master of Science, Bachelor of Science",experienced
executive/ sr. executive -it,"algorithms, data mining, data modeling, data structures, java programming, machine learning, python",B.Sc,experienced
software_engineer,"5 why, 8d, anatomy, ansys, apqp, autocad, benchmarking, c, catia, cnc engineering, cost analysis, development, dvp&r, fmea, gd&t, kaizen, kanban, kpi's, lean manufacturing, manufacturing process, microsoft office, minitab, packaging, ppap, process engineering, product development, product project management, programming, qcc, r, reliability sae standards, surveys, toyota production systems, validation, vehicle ergonomics, welding","Master of Science, Bachelor of Engineering",experienced
hr,"2k, 3d, accountant, accounting, accounts receivables, adobe illustrator, adobe photoshop, audio editing, auditing, banking, book, budget preparation, clients, contracts, cost analysis, credit, debit, dec, developer 2000, documentation, dos, finance, financial, financial management, hr, inspection, inventory, inventory control, macro media director, mis, modeling, ms office, oracle, oracle 8i, pagemaker, payroll, policies, preparation of financial statements, reporting, sales, senior management, tax, video editing, windows 9.x, works",MBA,experienced
devops engineer,"c, c++, db2, java, jcl, linux, microsoft (ms) access, ms excel, ms frontpage, ms visio, ms word, oracle, sql, sql server, unix, visual basic, windows 2000, windows nt, windows vista, windows xp",Bachelor of Science,experienced
data_analyst,"5s, dasylab, electrical, hydraulic testing, labview, lean, mechanical, test stand fabrication","Associates, Associates",experienced
software_engineer,"access, assembly, atm, ca, cadence, calibration, dc, de-bugging, ethernet, graphic, hardware, iso 9000, labview, layout, linux os, logic, mentor, ms office, multimeters, network, networking, orcad, oscilloscopes, power supplies, procurement, purchasing, quality assurance, routers, schematics, signal generators, sonet, switches, t1, test equipment, trouble shooting, troubleshooting, validation, view, windows",Associate Degree,experienced
mechanical engineer,"3d modeling, 3dsmax, architectural drafting, autocad, carpentry, detail oriented, drafting, email, floor plans, frame, mechanical, messaging, microsoft office applications, multi-tasking, painting, problem solving skills, read blueprints, reading, renovation, revit, self-motivated, supervisor",A.A.S,experienced
mechanical designer,"analyst, autocad, budget, business development, client, clients, configuration management, consultation, contracts, customer satisfaction, delivery, develop business, direct sales, engineer, environmental health and safety, information security, instructor, insurance, logistics, marketing materials, material science, materials, microsoft windows, network installation, networks, processes, project management, quality, quality management, radar, sales, six sigma, strategy","Doctor of Business Administration Management (D.B.A, Master of Business Administration (M.B.A, B. S. Computer Science",experienced
marketing,"administrative assistant, benefits, clerical, clients, data entry, database, excel, experienced with microsoft office - word, features, filing, forms, gis, mail, mailing, meetings, microsoft office - word, office equipment, outlook, phone, policies, processes, reception, recording, retail, scanning, sharepoint, sharepoint & costpoint, telephone, typing",B.S. Degree,experienced
mechanical engineer,"assisted living, insurance, internal medicine, interpersonal and communication, managing, marketing, meetings, mentor, networking, office, organizing, orthopedics, outside sales, physical therapy, rehabilitation, sales, seminars, team player, time management",B.A,experienced
marketing,"5 why, 8d, anatomy, ansys, apqp, autocad, benchmarking, c, catia, cnc engineering, cost analysis, development, dvp&r, fmea, gd&t, kaizen, kanban, kpi's, lean manufacturing, manufacturing process, microsoft office, minitab, packaging, ppap, process engineering, product development, product project management, programming, qcc, r, reliability sae standards, surveys, toyota production systems, validation, vehicle ergonomics, welding","Master of Science, Bachelor of Engineering",experienced
marketing,"aws(emr, cloud, ec2, excel, hive(hql), machine learning, matplotlib, mysql, numpy, pandas, power bi, python, s3), sql, tableau",B. Tech,experienced
mechanical engineer,"artificial intelligence, data analysis, data analytics, data exploration, data mining, deep learning, linear regression, machine learning, sequential analysis",B.Tech,experienced
hr,"accounting, accounting software, accounts payable, accounts payables, accounts receivables, accrual, administrative, administrative support, balance, balance sheet, bank reconciliation, book, bookkeeping, c, cash management, clients, closing, computer peripherals, credit, data entry, driving license, email, english, erp, excel, finance, financial, financials, fixed assets, funds, general ledger, hindi, insurance, internet applications, invoicing, languages, law, legal, letters, managing, mis, ms office applications, myob, negotiating, office, outlook, payroll, policies, powerpoint, purchasing, quickbooks, sales, sales analysis, secretarial, sound, strategy, supervision, trial balance, typing speed, word, xpert","M.Com (Master of Commerce), B.Com (Bachelor of Commerce)",experienced
marketing,"autocad civil 3d, bluebeam, excel, mathcad, microsoft word, powerpoint, project",Bachelor of Science,experienced
software_engineer,"accounts receivable professional, desktop publishing software: photoshop, factiva, html, illustrator, public relations software: bacon's mediasource, sales software: salesforce.com, tapscan",Bachelor of Science,experienced
network support engineer,"assembly, automation, budget, calibration, catsweb, cip, cnc, coaching, creo, injection molding, manufacturing, manufacturing process development and improvement, manufacturing yield improvement, minitab, ms office suite, ms project, ms visio, process engineering, proengineer, stat graphics, trackwise","Master of Science, Bachelor of Arts",experienced
hr,"automation tools, business processes, c, chemistry, client, crm, developer, english, event management, functional, hp, hp alm quality center, hp qtp, image, machinery, mathematics, ms office, oil, physics, programming, progress, project management, python, quality, quality assurance, quick test professional, r, simulation, sql, streak crm, tableau, team lead, trello, vb script","B.E, Class XII",fresher
ai engineer,"aws(emr, cloud, ec2, excel, hive(hql), machine learning, matplotlib, mysql, numpy, pandas, power bi, python, s3), sql, tableau",B. Tech,experienced
software_engineer,"automotive, basic, broadcast, ca, cable, cables, cabling, carpentry, chill, conversion, council, direction, documentation, electrical systems, electronics, equipment installation, experimentation, fax, forms, government, gps, hvac, inspecting, inspection, laboratory testing, leadership, lighting, logic, maple, mechanical, navy, nds, network, oss, personnel, plumbing, positioning, power supplies, power supply, quality, radio, recording, san, sc, scheduling, sorting, team lead, team leader, team leadership, technical documentation, technician v, telecommunications, transmission, troubleshooting, uhf, upgrade, upgrades, vhf, video, welder, welding, written communications",Diploma,experienced
management trainee - mechanical,"ability to lead and motivate a team, business and commercial acumen, creativity and imagination, customer service, drive, excel, focus integrated erp software for retail garment stores, good team player, influencing and negotiation, it skills (shopper, motivation and initiative, numerical and analytical ability, oral and written communication, organizational and planning skills, powerpoint), proficient in ms-office (word, tally, voyager), work under pressure and deadlines","MCA, Bachelor's Degree in Science",experienced
machine learning (ml) engineer,"algorithm optimization, angularjs, computer vision, data wrangling, deep learning, hadoop, huggingface, keras, machine learning, matplotlib, ml engineer, model building, natural language processing, numpy, pandas, pyspark, scikit learn, software developer, software engineering, tensorflow, tensorflowjs",B.Tech,experienced
intern,"adobe indesign, adobe photoshop, android, artificial intelligence, c, c#, c++, computer graphics, computer systems, cyber ethics, differential equations, discrete mathematics, dropbox, eclipse, emacs, google calendar, google drive, html, ii, ios, iworks, java, javascript, linux, microsoft office, mozilla thunderbird, mysql, osx, probability and stats, python, software practice i, sublime 2, swift, textwrangler, unity, unix terminal, visual studio, windows, xamarin studio, xcode",Associate of Applied Science,experienced
senior ios engineer,"artificial intelligence, backend, c, c++, deep learning, docker, java, jenkins, kubernetes, linear regression, machine learning, python, sap, software engineering",B.Tech,experienced
hr,"2000, access, api, atl, audio, backup, broadcast, c#, c++, cli, client, clients, concept, content, content management, documentation, drawing, dynamic html5, editing, explorer, ftp, functional, hardware, http, ids, javascript, json, lan, mb, mfc, nas, oop, page, proxy, rendering, san, scrum, servers, specification, team management, threads, troubleshoot, video, video editing, visual c++, win, windows, xml","M.S, B.E",experienced
mechanical engineer,"agency, delivery, insurance, materials, policies, roofing, sales, selling",Bachelor of Arts,experienced
software_engineer,"css, git, html, javascript (angular), oracle), python (django), rest apis, sql (postgresql",B.S.,experienced
data_analyst,"anaconda, arduino, matplotlib, numpy, pandas, python, raspberry pi, scikit learn, streamlit, tensorflow",B. Tech,experienced
intern,"access, adt, api, application analysis, application development, application support, architecture, assurance analyst, automated test scripts, automated testing, back end, basis, billing, black box, black box testing, business intelligence, business process management, c++, cases, client, clients, collection, contracts, data acquisition, data collection, data integrity, data mining, data warehousing, database, database systems, databases, db2, dbase, dbase iv, design review, dispatching, documentation, dos, e-business, electrical engineering, embedded systems, encryption, engineer, excellent verbal and written communication skills, exchange, file, ftp, graphical user interface, gui, html, ieee, inspections, integration, integration testing, integrator, internet explorer, inventory, invoice, ip, ipx, issues management, java, javascript, lan, linux, logistics, lotus notes, maintenance, maintenance repair, microsoft windows, ms access, ms exchange, ms office, ms visual basic, ms-dos, netbeui, netscape, network protocols, networking, new products, novell, operations, oracle, planning modules, pocket pc, printing, problem solving, process management, progress, proposals, qa, qa engineering, qa test, qa testing, quality assurance, quality engineer, rdbms, real time, real time embedded, real time embedded systems, regression testing, retail, retail marketing, san, scheduling, security, server, shipping, software development, software quality assurance, software quality engineer, software testing, solutions, sql, staff training, storage area network, strategic planning, structured software, system administration, system integration, systems administration, systems support, tcp, team lead, telephones, telephony, test cases, test plan, test plans, test scripts, testing, training, unix, usability, virtual machine, visual basic, visual test, vm, voice, wap, white box, white box testing, windows 95, wireless, wireless data","Minor, Testing Computer Software, BS",experienced
executive - vat,"docker, git, javascript, selenium (automated testing), tensorflow, visual studio code","M.S., B.S.",experienced
management trainee - mechanical,"accounting, accounting manager, accounting system, accounts payable, accounts receivable, auditing, bank reconciliations, cash receipts, client-focused, documentation, e-mail, excel in [areas of expertise], financial, mail, maintain files, operations management, payables, personnel, phone, processes, proficiency in [area], results-oriented, spreadsheet, treasury, written, yearend","Associate Degree, Bachelor of Science degree",experienced
network support engineer,"c, c++, machine learning, prediction modelling, python, software developer",B.Tech,experienced
"system administrator (operation & maintenance of server, storage & service desk system)","agency, delivery, insurance, materials, policies, roofing, sales, selling",Bachelor of Arts,experienced
"system administrator (operation & maintenance of server, storage & service desk system)","artificial intelligence, data science, deep learning, logistic regression, machine learning, natural language processing, neural networks, pattern recognition, predictive analytics",B.CA,experienced
project coordinator (civil),"css, git, html, javascript (angular), postgresql), python (django), ruby on rails, sql (mysql",Bachelor of Science,experienced
asst. manager/ manger (administrative),"administration of windows 2000 server, asp, c, digital logic, eclipse, embedded systems, installation and configuration of peripherals, java, jvs, linux, manual testing, mips assembler, ms office suite, ms project, ms visio, object-oriented programming, pl, remedy, robotics, sql, sql navigator, technical report writing, troubleshooting hardware, unix, unix shell scripts, vbs, verilog hardware language, vista, windows xp",Honours Bachelor of Science,experienced
project coordinator (civil),"accounting, accounting systems, ad, analytical skills, auditing, automation, billing, budget, budgeting, budgets, business operations, business process, cash flow, cash-flow, closing, contracts, cpa, crystal reports, database management, enterprise, essbase, excel, financial, financial accounting, financial analysis, financial reporting, financial statements, fixed assets, forecasting, general ledger, great plains, hyperion, inventory, law, ledger, market, mas 90, ms office, negotiation, peachtree, personnel, planning, policies, pricing, processes, quantitative analysis, quickbooks, reconciling, relationship management, reporting, research, researching, sales, sarbanesoxley, senior management, strategic planning, tax, tax preparation, taxes, trend",BS,experienced
marketing,"business analytics, data analysis, data analytics, linear regression, logistic regression, predictive modeling",B.Tech,experienced
hr,"algorithms, clustering, data mining, deep learning, jira, machine learning, mlops, model development, nlp, python, regression, software testing, sql, unsupervised learning",B.Tech,experienced
devops engineer,"artificial intelligence, data modeling, data validation, data visualization, deep learning, machine learning, matplotlib, method development, mongodb, mysql, plotly, python, seaborn",B.Tech,experienced
data_analyst,"c++, python, pytorch, r, snowflake, sql, tableau",B.S.,experienced
civil engineer,"artificial intelligence, data analysis, data analyst, data mining, data modeling, data validation, data visualization, machine learning, power bi, predictive analytics, python, statistical modeling, text analytics","B.Tech, M.Tech",experienced
management trainee - mechanical,"access, c programming, excel, html 5, java, python, sql",Bachelor of Science,experienced
site engineer,"aws, bert, data science, deep learning, devops, docker, flask, git, glove, gpu, keras, linux, lstm, lucene, machine learning, mysql, natural language processing, neural networks, numpy, pandas, python, pytorch, rnn, spacy, tensorflow",B.Tech,experienced
management trainee - mechanical,"accounting packages, cabling and laying of cables, data analysis techniques, database management system and administration, database programming, firewall setup, improving accounting and internal control systems, installation of hardware, installation of network components, interpersonal and communication skills, ip addressing, linux programming, monitoring and evaluation skills, negotiating skills, network design, office suite, operating system knowledge, programming in java, python, repair and maintenance practice, software development skills, technical proposal writing skills, troubleshooting a network failure, troubleshooting of hardware failure, upgrading of hardware, web design technology, windows platforms programming","Masters of Science in Information Technology, Bachelor's Degree in Computer Science, Certification in computer packages, KCSE, KCPE",experienced
devops engineer,"artificial intelligence, data analytics, data structures, data visualization, data wrangling, featurization, heuristics, machine learning, python",B.Tech,experienced
ai engineer,"budget, business strategy, consultation, customer relationship management, delivery, direct mail, directing, driving, email, forecasting, graphic, graphic design, image, inside sales, inventory, market, marketing, marketing & sales, marketing strategy, mentor, new business development, optimization, policies, presentations, sales, senior management, strategy",Associate of Arts,experienced
business development executive,"active noise cancelling (anc), analog and digital filter design, autocad, c languages, c#, c++, circuit design and analysis, computer systems, digital logic, digital signal processing, electronics, embedded hardware & software, engineering ethics, etap, failure analysis, hardware & software design, helioscope, inventor, logic analyzer, logistics, low and high voltage devices, low voltage power consumption, mac os, mathcad, matlab, microprocessors, ms office, ms visual studio, multimeters, nationalelectric code (nec), orcad, oscilloscope, power systems analysis, powerworld, project management, pspice, reading circuit schematics, research and development, simulink, solar pv systems design, soldering, solidworks, testing, troubleshooting, verilog","Master of Science, Bachelor of Science",experienced
executive - vat,"accounting, accounting systems, aia, as400, billings, bluebeam, bonds, budgets, business management, business writing, clerical, coding, construction management, contracts, filing, forward-thinking mindset, imaging, insurance, jd edwards, microsoft, microsoft office proficiency, negotiations, office, organized and detail-oriented, payroll, project coordination, project management, property management, proposals, results-oriented, rfi, sap, scheduling, self-directed, special events, strong interpersonal skills, taxes, trade shows",,experienced
project coordinator (civil),"arduino ide, autocad, git, junit, matlab, vhdl, visual studio code, vmware, wireshark, xilinx vivado",Bachelor of Science,experienced
data_analyst,"base sas, bert, clustering, data analysis, k-means, knn, machine learning, matplotlib, natural language processing, nltk, numpy, pandas, pytesseract, python, regression analysis, seaborn, sql, statistical analysis, text analysis, time series analysis, transformers",B.Sc(CA),experienced
network support engineer,"css, git, html, javascript (angular), oracle), python (django), rest apis, sql (postgresql",B.S.,experienced
executive/ sr. executive -it,"application support, c, c++, css, deep learning, docker, hive, html, javascript, machine learning, python, requirement gathering, risk assessment, software development",B.Tech,experienced
ai engineer,"data analysis, java, javascript, machine learning, matplotlib, python, software development, text analytics",B.Tech,experienced
intern,"algorithms, c, css, data analyst, data structures, frontend, html, java, javascript, machine learning, mysql, oop, php, python, web developer, web development",B.Tech(Computers),experienced
management trainee - mechanical,"adobe analytics, data analysis, data visualization, deep learning, excel, machine learning, matplotlib, python",B.tech,experienced
machine learning (ml) engineer,"budgeting, business management, employee management, inventory management, leadership development, operations management, project management, risk management, staff development","Masters of Public Administration, B.A. General Studies, High School Diploma",experienced
ai engineer,"c, c++, data modeling, data science, java, machine learning, python, requirement gathering",B.Tech,fresher
executive/ sr. executive -it,"account reconciliation, accounts receivable accounts payable, adp, budget planning, cash management, cdi, financial statement analysis, fixed assets, full accounting cycle, general ledger accounting, inventory & purchases, microsoft excel, microsoft office suite, microsoft outlook, microsoft powerpoint, microsoft word, pc law, peachtree, pico or suri, pr soft, quickbooks","MBA, BBA",experienced
executive - vat,"data analyst, data mining, data visualization, linear regression, machine learning, oracle, predictive modeling, python, sql server, statistical modeling",B.Tech,experienced
hr,"balanced, experienced manager, motivated, seasoned leadership",Bachelor of Arts Degree,experienced
ai engineer,"base sas, bert, clustering, data analysis, k-means, knn, machine learning, matplotlib, natural language processing, nltk, numpy, pandas, pytesseract, python, regression analysis, seaborn, sql, statistical analysis, text analysis, time series analysis, transformers",B.Sc(CA),experienced
network support engineer,"application development, c++, data modelling, data processing, data structures, deep learning, django, flask, kubernetes, machine learning engineer, python",B.TECH,experienced
software_engineer,"agile methodology, business growth, data analytics, machine learning, project management, software development",B.tech,experienced
marketing,"15+ years of experience in accounting & bookkeeping services, access, asset keeper pro software, bank reconciliations and balancing, bank reconciliations and general ledger expertise, creative solutions bookkeeping software, document manager software, excel, financial statement analysis, financial statements, fixed asset solutions software, flexible team player, gaap understanding, host software, lacerte tax preparation software, microsoft word, outlook, powerpoint, prosystem, quickbooks software, tax return filing, ultratax",Bachelor,experienced
civil engineer,"ability to prioritize, administrative: microsoft office suite, clarify, concur, deadline-oriented, employee training and development, exceptional telephone etiquette, learning management: saba lms, paperless proposals, pedague testing system, professional demeanor, sales software: salesforce.com, self-starter, success factors lms, technical: vantive, time management ability, troubleshooting and problem solving, webex",Bachelor of Science,experienced
project coordinator (civil),"access, assembly, atm, ca, cadence, calibration, dc, de-bugging, ethernet, graphic, hardware, iso 9000, labview, layout, linux os, logic, mentor, ms office, multimeters, network, networking, orcad, oscilloscopes, power supplies, procurement, purchasing, quality assurance, routers, schematics, signal generators, sonet, switches, t1, test equipment, trouble shooting, troubleshooting, validation, view, windows",Associate Degree,experienced
machine learning (ml) engineer,"accounting, accounting systems, aia, as400, billings, bluebeam, bonds, budgets, business management, business writing, clerical, coding, construction management, contracts, filing, forward-thinking mindset, imaging, insurance, jd edwards, microsoft, microsoft office proficiency, negotiations, office, organized and detail-oriented, payroll, project coordination, project management, property management, proposals, results-oriented, rfi, sap, scheduling, self-directed, special events, strong interpersonal skills, taxes, trade shows",,experienced
marketing,"business intelligence, data analytics, data manipulation, data mining, data modeling, data reporting, data validation, econometrics, ifrs, machine learning, oracle, problem solving, r programming, scorecard, sql","B.A (Economics), MSc (Economics)",experienced
software_engineer,"agile methodologies, architect end to end, build teams, c, c++, control systems, develop products in consumer electronics, device drivers, digital tv, dvb, embedded linux, h.264, hardware, hls, industrial automation, integrating content protection systems, interface with customers and vendors, java, json, jvm, lead development, leadership, lxc, mathematical modeling, matlab, mentor, microcontrollers, mp4, mpeg, octave, project planning and management, rest, rtos - os9, scrum, sdlc, snmp, soap, socs, tr069, vxworks, xml","M.Tech, B.E, Course",experienced
business development executive,"artificial intelligence, clustering, data analysis, data science, data visualization, decision tree, machine learning, microsoft excel, python, sql",B.E,experienced
marketing,"business analysis, business analyst, data analytics, data cleansing, deep learning, machine learning, numpy, python, risk analysis, statistical analysis",B.BA,experienced
mechanical engineer,"cloud architecture, conversational ai, gru, huggingface, lstm, machine learning, natural language processing, rnn, transformers",B.Tech,experienced
marketing,"and humidity, apqp, assembly, biotechnology, calibration, circuit boards, control system design, control systems, corrective maintenance, dmm, documentation, electrical engineer, electrical engineering, electrical mechanical, electrical test, engineer, entry level, esd, estimation, first article inspection, hydraulics, ieee, industrial machinery, inspection, maintenance, manufacturing process, mechanical, mechanical technician, medical devices, oscilloscope, packaging, pneumatics, pr, preventive maintenance, proactive, process control, production process, project manager, public relations, schematic, self motivated, sensor, sensors, soldering, sop, surface mount, temperature, test engineer, testing, through-hole, training, wiring",Bachelor of Science,experienced
network support engineer,"data analysis, data analytics, data integration, data mining, data modelling, data science, database management, flask, machine learning, natural language processing, predictive analytics, python, sql, statistical modelling",B.Tech/B.E.,experienced
ai engineer,"c, git, html, java, javascript, linux, matlab, microsoft excel, microsoft powerpoint, microsoft word, opengl, pgsql, pl, postgresql, python, r, sqlite, unix, valgrind, visual studio, webgl, windows",Bachelor of Science,experienced
business development executive,"ability of managing multi tasks, accounting software: peoplesoft, adobe acrobat x, advanced ms excel skills, deadlines focused, detail-oriented, excellent communication and presentation skills, good analytical skills, microsoft office: word, ms access, operating systems: xp windows professional, outlook, pdf: adobe reader, powerpoint, quick learner, quickbooks, strong management skills, tax software: drake, team-oriented, turbotax, ultra tax, windows 7, windows 8",Bachelor's degree,experienced
business development executive,"crm, ms office suite, new business development, sales management, salesforce","Masters of Business Administration, Bachelors of Science",experienced
software_engineer,"access, excel, gis, lighting designs using visual professional, microsoft office, power point","Bachelors, Associates Degree",experienced
civil engineer,"aws(emr, cloud, ec2, excel, hive(hql), machine learning, matplotlib, mysql, numpy, pandas, power bi, python, s3), sql, tableau",B. Tech,experienced
mechanical designer,"3, autocad, c, c++, calibration, charts, data analysis, database, designing, documentation, excel, forecasting, ims, inspection, inventory, iso, iso 9001, java, lean manufacturing, minitab, ms access, ms office, planning, powerpoint, pro e, process improvement, programming, python, quality, r, reduce waste, safety, sap, sap r, scheduling, siemens, solid works, sop, strategy, supervising 4, visual basic","Masters of Science, Bachelor of Engineering",experienced
senior ios engineer,"access, account reconciliation, accountant, accounting, accounting system, ar, budget, business objects, closing, contracts, excel, financial, financial analysis, financial controls, financial operations, financial reports, financial statements, gl, grants, inventory, invoicing, ledger, macros, microsoft office, monitors, office, operating systems, outlook, peoplesoft, policies, powerpoint, processes, procurement, reporting, research, sap, sarbanes-oxley, training materials, view, word","Masters of Science, BBA",experienced
project coordinator (civil),"artificial intelligence, c++, data analysis, data mining, data science, data structures, data visualization, data warehousing, django, java, linear regression, machine learning, mongodb, python, sql","B.Tech, Master's Diploma",experienced
intern,"academic, autocad, banking, basic, calculus, credit, database, database management system, engineer, excel, experiments, gui, laser, layout, materials, matlab, mechanical engineering, microsoft office, mysql, optimization, outlook, physics, police, power point, progress, research, retail, scheduling, statistics, vba, website, word","Master of Science, Bachelor of Engineering",experienced
data_analyst,"access, ap, ar, bank reconciliations, billings, budgets, cash flow projections, excel, financial statements, government contracting, great plains, jde, labview, matlab, peachtree, proactive, quickbooks, self-motivated, team player, word","Master of Science, M. Eng, Bachelor of Science",experienced
site engineer,"accounting systems proficiency, advanced utilization microsoft office suite, communication skills, erp, excel, high attention to details, high efficiency","Master of Business, Bachelor of Commerce",experienced
intern,"academic, acrylic, autocad, cad, concept, design process, drawing, eit, engineer-in-training, estimating, graphics and design, laser, material science, microsoft excel, microsoft powerpoint, microsoft word, progress, project management, proposals, reporting, research, robotics, safety, solidworks, statistics, time management, verbal communication skills, weighing, written",Bachelor of Science,experienced
site engineer,"docker, git, javascript, selenium (automated testing), tensorflow, visual studio code","M.S., B.S.",experienced
asst. manager/ manger (administrative),"algorithms, ann, artificial intelligence, big data, c++, data analysis, data structures, data visualization, deep learning, hadoop, hive, java, linear regression, machine learning, predictive modeling, python, sql, statistical modeling, tableau",B.Tech,experienced
mechanical designer,"aws, big data, c++, data cleaning, data handling, data warehousing, model building, python, sdlc, software engineering",B.Sc,experienced
senior ios engineer,"algorithms, analysis of algorithms, bounded rationality, combinatorial optimizations, cryptography, game theory, social networks","PhD Candidate, Computer Science, B.Sc., Double major in Computer Science and Management",experienced
site engineer,"mercurial, python, visual studio code",B.S.,experienced
"system administrator (operation & maintenance of server, storage & service desk system)","access, ad, ad copy, advertisements, advertising, agile, automation, billing, budgets, cable, client, clients, database, dynamic ax, engineering projects, excel, financial, focus, gantt chart scheduler, hardware, inventory, jira, leadership, managing, market trends, microsoft office suite, microsoft teams, oracle, peoplesoft, powerpoint, processes, project management, project management lifecycle, proposals, real time, reporting, sales, sales force, sap, scheduling, sharepoint, streamline, strong written and verbal communication skills, verbal communication skills, word, workbench, written communication skills",Bachelor of Arts,experienced
machine learning (ml) engineer,"account management, business development, business to business, business to customer, calm under pressure, contract negotiation, p&l management, total quality management",Bachelor of Science,experienced
civil engineer,"access control, data analysis, data structures, data visualization, database management, debugging, iam, java, machine learning, mongodb, mysql, python, risk assessment, sail point",B.E. (Computers),experienced
executive/ sr. executive -it,"autocad, c++, communication, electrical mechanical systems, engineering economy, industrial electricity, instrumentation and controls, leadership, problem solving skills, programmable logic controllers, team work, technical grammar skills, visual basics",Bachelor of Science,experienced
network support engineer,"account reconciliations, accounting, accounts payable, accounts receivable, ap, balance sheet, bank reconciliation, banking, billing, book, client, coding, com, developer, edit, finance, financial reports, financials, focus, functional, general ledger, gl, inventory control, invoice processing, invoicing, mail, mba, office, preparing financial reports, process invoices, profit and loss statement, reporting, researching, sap, sap fi","MBA, B.Com, Diploma",experienced
data_analyst,"access, excel, gis, lighting designs using visual professional, microsoft office, power point","Bachelors, Associates Degree",experienced
data_analyst,"bash, c++, git, haskell, hpc, jax, linux, matplotlib, pandas, python, pytorch, scikit-learn, unity","Ph.D. in Computer Science, Master in Computer Science, Bachelor in Physics",experienced
mechanical designer,"business intelligence, dbms, java, learning algorithm, machine learning, python, rdbms, sas, software developer, software engineer, sql",Integrated B.Tech & M.Tech,experienced
software_engineer,"lasso regression, linear regression, machine learning, ridge regression, tableau, time series analysis",B.Tech,experienced
ai engineer,"css, git, html, javascript (angular), oracle), python (django), rest apis, sql (postgresql",B.S.,experienced
marketing,"artificial intelligence, aws, chatbot, data analysis, data science, deep learning, hadoop, kafka, keras, kubernetes, machine learning, natural language processing, pyspark, python, pytorch, scikit-learn, spark, tensorflow","B.Tech, MSc",experienced
marketing,"balanced, experienced manager, motivated, seasoned leadership",Bachelor of Arts Degree,experienced
asst. manager/ manger (administrative),"access, ap, ar, bank reconciliations, billings, budgets, cash flow projections, excel, financial statements, government contracting, great plains, jde, labview, matlab, peachtree, proactive, quickbooks, self-motivated, team player, word","Master of Science, M. Eng, Bachelor of Science",experienced
civil engineer,"account reconciliation, accounting, accounts payable, accounts receivable, ar, billing, budget, cash handling, closing, coaching, communication skills, contracts, credit, customer service, financial, forms, general ledger, general ledger accounts, grants, groupwise, instructing, mentoring, merchandising, microsoft office, organizational skills, outlook, packaging, policies, pricing, public speaking, purchasing, receiving, reconciling, research, spreadsheets, team player, time management, year-end","BBA, BBA, MBA",experienced
civil engineer,"2, accounting, analytical skills, billing, c programming, client, clients, closing, consultant, consulting, credit, customer care, data entry, database, debit, delivery, designer 2000, developer, documentation, editing, excel, excellent writing skills, fetch, filing, financial, forms, full life cycle, funds, general ledger accounts, legal, managing, microsoft applications, microsoft word, month-end closing, office, oracle, oracle database, os, policies, processes, processing payments, proposals, quality assurance, read, real estate, reporting, requirement, research support, sales, scheduling, scripts, senior management, solomon, sql, system integration, tables, tax, tax accounting, tax returns, technical documentation, telephone, upgrades, utilities, windows","Diploma, Bachelor of Science",experienced
marketing,"3, autocad, c, c++, calibration, charts, data analysis, database, designing, documentation, excel, forecasting, ims, inspection, inventory, iso, iso 9001, java, lean manufacturing, minitab, ms access, ms office, planning, powerpoint, pro e, process improvement, programming, python, quality, r, reduce waste, safety, sap, sap r, scheduling, siemens, solid works, sop, strategy, supervising 4, visual basic","Masters of Science, Bachelor of Engineering",experienced
devops engineer,"base sas, business analysis, credit risk, data analysis, data science, data visualization, machine learning, nlp, power bi, python, r, regression analysis, sql, statistical analysis, tableau, time series analysis","B.CA, M.CA",experienced
management trainee - mechanical,"business analysis, data analysis, machine learning, natural language processing, numerical analysis, regression analysis, statistical analysis","BSc, MSc",experienced
network support engineer,"anova, cluster analysis, correlation analysis, data analysis, data mining, decision tree, excel, linear regression, logistic regression, machine learning, mysql, natural language processing, neural networks, principal component analysis, python, r, spss, tableau","BSc(CA), MSc(CA)",experienced
